Tweet Id,Tweet URL,Tweet Posted Time (UTC),Tweet Content,Tweet Type,Client,Retweets Received,Favourites Received,Tweet Location,Tweet Language,User Id,Name,Screen Name,User Bio,Verified or Non-Verified,Profile URL,Protected or Non-protected,User Followers,User Following,Favourites Count,Statuses Count,User Account Creation Date,cleaned tweet,Label
"""1356017986029686785""",https://twitter.com/mhmmdalmutairi/status/1356017986029686785,31 Jan 2021 23:14:16,"@ahmed هلا احمد ، توني تعرفت على @riyadhbureau من الجلسة الحلوة في كلوب هاوس واشتركت فيها
فخور بجهودك وسعيد بالتواصل معك واتطلع للقاك",Reply,Twitter for iPhone,0,3,Riyadh,Arabic,"""1128786330597634050""",محمد المطيري,mhmmdalmutairi,وأن ليس للإنسان الا ما سعى للتواصل 0541170270,Non-Verified,https://twitter.com/mhmmdalmutairi,Non-Protected,14617,94,127,9456,15 May 2019 22:16:47,احمد توني تعرفت الجلسه الحلوه كلوب هاوس واشتركت فخور بجهودك وسعيد بالتواصل معك واتطلع للقاك,positive
"""1356000120165294089""",https://twitter.com/Firas_ALshebl/status/1356000120165294089,31 Jan 2021 22:03:16,@Medhat_Amer وش سالفة تطبيق كلوب هاوس؟,Reply,Twitter for iPhone,0,0,"Unayzah, Kingdom of Saudi Arabia",Arabic,"""433715354""",فراس بن محمد,Firas_ALshebl,أسعى لرسم البسمه ، متذوق لكل ماهو جميل ، شاعر وقت الحاجه!「مهتم بالتقنيه」رابط حساباتي بمواقع التواصل في الأسفل  ↘,Non-Verified,https://twitter.com/Firas_ALshebl,Non-Protected,48536,1400,489,368776,10 Dec 2011 22:52:19,وش سالفه تطبيق كلوب هاوس,positive
"""1355979657875763203""",https://twitter.com/AhmedalfozanFIN/status/1355979657875763203,31 Jan 2021 20:41:57,@rakaneur @chaizerapp يبي لنا نحشر الزعبي في كلوب هاوس بكرا يعطينا خططه للمشروع.,Reply,Twitter for iPhone,0,0,,Arabic,"""1018782024000262144""",Ahmed Alfozan,AhmedalfozanFIN,@Jawlahco,Non-Verified,https://twitter.com/AhmedalfozanFIN,Non-Protected,15097,1699,46,3052,16 Jul 2018 08:58:57,يبي نحشر الزعبي كلوب هاوس بكرا يعطينا خططه للمشروع,positive
"""1355974041237073930""",https://twitter.com/mansourdentist/status/1355974041237073930,31 Jan 2021 20:19:38,ابشركم العينات البيض في تويتر بينقلعون كلوب هاوس ونرتاح منهم.,Tweet,Twitter for iPhone,0,0,"Boston, USA",Arabic,"""4243959313""",منصور,mansourdentist,معتكف في محراب الحرية..،,Non-Verified,https://twitter.com/mansourdentist,Non-Protected,926,1068,9048,7482,15 Nov 2015 08:58:54,ابشركم العينات البيض تويتر بينقلعون كلوب هاوس ونرتاح منهم,negative
"""1355961401907539970""",https://twitter.com/Hanan3omr/status/1355961401907539970,31 Jan 2021 19:29:25,😕كلوب هاوس كانه بالتوك! 😟يالله يا قدمي,Tweet,Twitter for iPhone,0,0,,Arabic,"""606191342""",Hanan AlAmoudi,Hanan3omr,كُلً يرى البدر على حسب هواه :),Non-Verified,https://twitter.com/Hanan3omr,Non-Protected,395,616,4603,20690,12 Jun 2012 09:56:52,كلوب هاوس كانه بالتوك يالله قدمي,positive
"""1355957668205228033""",https://twitter.com/MohdMintakh/status/1355957668205228033,31 Jan 2021 19:14:35,كلوب هاوس اثبت لي ان الناس عندها وقت كثير,Tweet,Twitter for iPhone,0,1,Between Khobar and Riyadh ,Arabic,"""210502157""",Mohammed Almintakh 🇸🇦,MohdMintakh,Cybersecurity N' stuff | Cyber mostly here @SaudiDFIR | Other stuff here (حساب شخصي) #ENFP,Non-Verified,https://twitter.com/MohdMintakh,Non-Protected,3664,1208,132,40681,31 Oct 2010 15:52:06,كلوب هاوس اثبت الناس عندها وقت كثير,negative
"""1355953240152678404""",https://twitter.com/17rzrzA/status/1355953240152678404,31 Jan 2021 18:56:59,تاكا غنى when ever you are  في كلوب هاوس 😭😭 خير واحنا؟؟ نبي نسمع 😭,Tweet,Twitter for iPhone,0,1,1:00💎,Arabic,"""1214359034205233152""",風 ⨟⨟¹⁰⁹⁶⁹🛹,17rzrzA,i love ONEOKROCK and SEVENTEEN who save me in ways that I can’t explain..#nurse #artist #ENFP,Non-Verified,https://twitter.com/17rzrzA,Non-Protected,830,903,32272,23598,07 Jan 2020 01:32:22,تاكا غني ever كلوب هاوس خير واحنا نبي نسمع,positive
"""1355952365745168385""",https://twitter.com/imohdjabar/status/1355952365745168385,31 Jan 2021 18:53:31,"RT @sheneamer: نقلة جديدة لهذه الأحدية العريقة التي تشرفت بحضورها مستمعا أكثر من مرة والآن لأول مره يتم عقدها الآن على تطبيق كلوب هاوس.. ومجال لحضور أكبر. موفق يا دكتور!

تعالوا https://t.co/jk7nM1NeZQ",ReTweet,Tweetbot for iΟS,0,0,"Jeddah, SA",Arabic,"""49069951""",محمد عبدالجبار | ,imohdjabar,"‏Communication Operation Manager @sela. Ex @hype_sa, @mobily.  شغوف بالتكنولوجيا ومهتم بالفنون والادارة والتسويق الرقمي. اتباعد دائما عن كل ماهو مستهلك",Non-Verified,https://twitter.com/imohdjabar,Non-Protected,3488,754,5212,34018,20 Jun 2009 18:03:33,نقله جديده لهذه الاحديه العريقه تشرفت بحضورها مستمعا مره والان لاول مره يتم عقدها تطبيق كلوب هاوس ومجال لحضور اكبر موفق دكتور تعالوا,positive
"""1355939959430115331""",https://twitter.com/YAS3_/status/1355939959430115331,31 Jan 2021 18:04:13,نداء للزملاء القانونيين: ما ودكم نقتحم كلوب هاوس؟,Tweet,Twitter for iPhone,0,0,Riyadh,Arabic,"""287675853""",ياسر العريني,YAS3_,Law | Finance | VCs | LLB @IMSIU_edu_SA ‘10 | MBA @Alfaisaluniv ‘18 | LLM @Stanford ‘20,Non-Verified,https://twitter.com/YAS3_,Non-Protected,2264,626,27,1041,25 Apr 2011 13:26:09,نداء للزملاء القانونيين ودكم نقتحم كلوب هاوس,positive
"""1355934431379394563""",https://twitter.com/n_g_909/status/1355934431379394563,31 Jan 2021 17:42:15,حرااام والله تفوتني جلسات في كلوب هاوس واسمع هذي!! 💔 https://t.co/fHnc3LQaJr,Tweet,Twitter for iPhone,0,0,Riyadh,Arabic,"""579528456""",Nora,n_g_909,أملك رفاهية الانهيار.. لكني لازلت اجاهد!,Non-Verified,https://twitter.com/n_g_909,Non-Protected,316,190,269,944,14 May 2012 01:43:21,حرام والله تفوتني جلسات كلوب هاوس واسمع,positive
